name,team,kills,deaths,attacker_x,attacker_y,attacker_z,attacker_flash,attacker_alive,attacker_scoped,attacker_speed,attacker_isbot,attacker_pitch,attacker_yaw,attacker_ducked,victim_name,victim_team,victim_kills,victim_deaths,victim_x,victim_y,victim_z,victim_flash,victim_alive,victim_scoped,victim_speed,victim_isbot,victim_pitch,victim_yaw,victim_ducked,isWallbang,isHeadshot,isNoScope,isHacker
{JoK3R  },2,10,4,437.5323791503906,2649.037841796875,95.49319458007812,0,true,false,0,false,2.3236083984375,358.2421875,0,D E X,3,4,5,1311.751708984375,2611.1845703125,136.69729614257812,0,false,false,32.25000756870039,false,8.3221435546875,177.3468017578125,0,0,0,0,0
Ketchup,3,6,4,1344.1549072265625,1579.099853515625,-6.102336406707764,0,true,false,197.59586127559007,false,355.792236328125,100.0250244140625,0,{JoK3R  },2,10,4,1002.9241333007812,2708.494873046875,160.43557739257812,0,false,false,167.52268117395792,false,12.9638671875,314.8516845703125,0,0,0,0,0
Ketchup,3,8,4,805.7228393554688,2069.18408203125,-42.53708267211914,0,true,false,34.00000287674193,false,359.5550537109375,176.231689453125,1,<<<BaHuMiKe>>>,2,4,6,-1306.46826171875,2195.070068359375,66.35542297363281,0,false,false,77.99999562658407,false,3.6090087890625,357.528076171875,0,0,0,0,0
D E X,3,4,5,-415.103759765625,2187.011474609375,-124.65005493164062,0,true,false,0,false,356.9952392578125,270.06591796875,0,-Cactus^ 🌹,2,1,7,-420.33331298828125,170.555908203125,46.41841506958008,0,false,false,0,false,4.0814208984375,90.3076171875,0,0,0,0,0
Oggy,2,4,7,1009.2847900390625,1094.4180908203125,0.542724609375,0,true,false,0,false,5.789794921875,269.67041015625,0,StevieG!,3,7,6,1004.1156005859375,215.03125,77.37320709228516,0,false,false,54.994728088378906,false,3.8287353515625,61.50146484375,0,0,1,0,0
Mackenzie,3,3,6,1439.1983642578125,1845.8206787109375,-8.997175216674805,0,true,false,37.21414244350473,false,9.3603515625,267.7313232421875,0,<<<BaHuMiKe>>>,2,4,6,1389.591796875,912.2640991210938,45.679630279541016,0,false,false,0,false,7.8717041015625,86.6986083984375,1,0,1,0,0
Braindead,2,4,5,1491.75146484375,556.254150390625,-82.85968780517578,0,true,true,0,false,355.60546875,99.5526123046875,0,Ezio™,3,7,3,1173.800537109375,2607.20263671875,160.2188720703125,0,false,false,52.030264209200496,false,5.5755615234375,278.514404296875,0,0,0,0,0
Mackenzie,3,5,6,1074.345947265625,2187.755615234375,5.47343111038208,4.760406494140625,true,false,98.95530729631521,false,12.392578125,342.147216796875,0,Oggy,2,5,8,1455.494140625,2048.02880859375,53.84004211425781,0,false,false,0,false,6.4599609375,160.3948974609375,0,0,0,0,0
Mackenzie,3,5,6,1133.299072265625,2236.6826171875,9.00494384765625,4.760406494140625,true,false,13.013146481103671,false,7.03125,323.118896484375,0,Braindead,2,5,5,1640.3524169921875,1850.4415283203125,74.03125,0,false,false,0,false,2.197265625,147.2442626953125,1,0,1,0,0
Ketchup,3,9,4,657.4364013671875,774.8965454101562,0.30864715576171875,0,true,false,0,false,1.494140625,28.0316162109375,0,{JoK3R  },2,10,6,1348.3802490234375,1151.27294921875,38.10600280761719,0,false,false,15.128441215877897,false,1.395263671875,208.026123046875,0,0,0,0,0
